0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	
0	1	0	0	0	0	0	0	0	0	1	
0	2	0	0	0	0	2	0	0	0	4	
8	9	4	0	0	0	27	0	0	0	48	
26	31	29	0	0	0	76	0	0	0	162	
76	68	64	0	0	0	127	0	0	0	335	
190	148	190	0	0	0	207	0	16	0	751	
288	217	287	0	0	0	282	0	37	0	1111	
485	302	484	0	0	0	417	0	62	0	1750	
609	497	806	0	0	0	580	0	111	0	2603	
840	644	1112	0	0	0	782	0	189	0	3567	
1048	812	1252	0	0	0	826	0	330	0	4268	
1470	1052	1510	0	0	0	842	0	5	1	4880	
1601	1084	1722	0	0	0	818	0	2	1	5228	
1952	906	1937	0	0	0	707	0	2	2	5506	
2325	1051	2132	0	0	0	268	0	2	2	5780	
2540	1163	2374	0	0	0	2	0	0	2	6081	
2613	1235	2416	0	0	0	0	0	0	2	6266	
2419	1658	2393	0	0	0	2	0	0	2	6474	
2385	1992	2289	0	0	0	2	0	0	5	6673	
2429	2089	2247	0	0	0	2	0	0	5	6772	
2455	2329	2075	0	0	0	1	0	0	6	6866	
2501	2796	1690	0	0	0	0	0	0	7	6994	
2592	2972	1479	0	0	0	0	0	0	11	7054	
3692	3326	62	0	0	0	0	0	0	16	7096	
3480	3365	35	0	0	0	0	0	0	24	6904	
3803	3509	16	0	0	0	0	0	0	63	7391	
3877	3437	11	0	0	0	0	0	0	112	7437	
3856	3167	11	0	0	0	0	0	0	438	7472	
4284	3257	2	0	0	0	0	0	0	5	7548	
4018	3594	0	0	0	0	0	0	0	0	7612	
3945	3683	1	0	0	0	0	0	0	0	7629	
3966	3691	0	0	0	0	0	0	0	0	7657	
3983	3689	0	0	0	0	0	0	0	0	7672	
3978	3689	0	0	0	0	0	0	0	0	7667	
4043	3619	0	0	0	1	0	0	0	0	7663	
4238	3434	0	0	0	0	0	0	0	0	7672	
4130	3520	0	2	0	0	0	0	0	0	7652	
4056	3565	0	0	0	0	0	0	0	0	7621	
4050	3538	0	0	0	0	0	0	0	0	7588	
4042	3499	0	4	1	0	0	0	0	0	7546	
4032	3413	0	1	3	0	0	0	0	0	7449	
4015	3322	0	2	4	0	0	0	0	0	7343	
4004	3221	0	10	10	0	0	0	0	0	7245	
3916	3110	0	29	31	0	0	0	0	0	7086	
3609	2950	0	122	177	1	0	0	1	0	6860	
2941	1815	0	687	1136	2	0	0	8	0	6589	
2541	1116	0	1525	1169	2	0	0	16	0	6369	
1771	1386	0	1566	1309	4	0	2	24	0	6062	
889	1372	0	1344	1337	843	0	2	41	0	5828	
486	1298	0	1038	1418	1271	0	2	71	0	5584	
275	1190	0	1041	1392	1302	0	2	105	0	5307	
186	1069	0	1166	1183	1179	0	2	144	0	4929	
124	846	0	949	932	921	0	587	227	0	4586	
84	925	0	963	852	834	0	186	294	0	4138	
40	858	0	752	751	676	0	137	399	0	3613	
29	397	0	607	613	620	0	96	497	0	2859	
22	390	0	388	277	495	0	45	338	0	1955	
10	227	0	158	229	121	0	37	217	0	999	
6	136	0	34	154	90	0	25	198	0	643	
4	67	0	14	124	29	0	5	63	0	306	
0	26	0	3	29	14	0	3	18	0	93	
1	2	0	1	11	5	0	1	4	0	25	
0	1	0	0	3	1	0	0	1	0	6	
0	0	0	1	0	2	0	0	0	0	3	
0	0	0	0	0	2	0	0	0	0	2	
0	0	0	0	2	0	0	0	0	0	2	
0	0	0	0	0	0	0	1	0	0	1	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	1	0	0	0	0	1	
0	0	0	0	0	0	0	1	0	0	1	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	1	0	0	1	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	1	0	0	0	0	0	1	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	
0	1	0	0	1	0	0	0	0	0	2	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	
